Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5603037,"IRAK4 deficiency (TLR5)",2,5,3.700140605343003E-4,0.010099256368868659,0.6162802966785703,2,2,1.8009905447996397E-4,9606,Homo sapiens,"TLR10;TLR5","","R-HSA-5602472;R-HSA-5602603"
R-HSA-9007892,"Interleukin-38 signaling",2,6,4.440168726411604E-4,0.014261158234055715,0.6162802966785703,5,5,4.5024763619990995E-4,9606,Homo sapiens,"IL1RN;IL1R1","","R-HSA-9008043;R-HSA-9007882;R-HSA-9007901;R-HSA-9008052;R-HSA-9008054"
R-HSA-1306955,"GRB7 events in ERBB2 signaling",2,6,4.440168726411604E-4,0.014261158234055715,0.6162802966785703,1,1,9.004952723998198E-5,9606,Homo sapiens,"NRG1","","R-HSA-1306953"
R-HSA-9014826,"Interleukin-36 pathway",2,7,5.180196847480204E-4,0.019035868365857245,0.6162802966785703,3,3,2.70148581719946E-4,9606,Homo sapiens,"IL1RN;IL1R1","","R-HSA-8848316;R-HSA-8848314;R-HSA-8940998"
R-HSA-8849474,"PTK6 Activates STAT3",2,7,5.180196847480204E-4,0.019035868365857245,0.6162802966785703,3,9,8.104457451598379E-4,9606,Homo sapiens,"SOCS3","","R-HSA-8848150;R-HSA-8848178;R-HSA-8848110"
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",5,54,0.003996151853770443,0.024218642774021304,0.6162802966785703,1,3,2.70148581719946E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-72691"
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",3,21,0.0015540590542440613,0.02584248573540182,0.6162802966785703,7,11,9.90544799639802E-4,9606,Homo sapiens,"TFDP2;SFN","","R-HSA-6803892;R-HSA-6803875;R-HSA-6803890;R-HSA-6803858;R-HSA-6803871;R-HSA-6798268;R-HSA-6798282"
R-HSA-2173793,"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",5,55,0.004070154665877303,0.02592649734155572,0.6162802966785703,35,38,0.0034218820351193157,9606,Homo sapiens,"SMAD4;TFDP2;USP9Y;SMAD7","","R-HSA-2186785;R-HSA-870477;R-HSA-870479;R-HSA-2187303;R-HSA-870538;R-HSA-2176491;R-HSA-2187309;R-HSA-2186607;R-HSA-2186741;R-HSA-1484099;R-HSA-2176503;R-HSA-2176502;R-HSA-2186747;R-HSA-2187325;R-HSA-209055;R-HSA-2187388;R-HSA-170847;R-HSA-2187330;R-HSA-2031355;R-HSA-870437;R-HSA-173481;R-HSA-2179274;R-HSA-173545;R-HSA-2179276;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-2106579;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-870449;R-HSA-2187293;R-HSA-2186780;R-HSA-2106591"
R-HSA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",4,39,0.0028861096721675425,0.030675676224895088,0.6162802966785703,16,17,0.001530841963079694,9606,Homo sapiens,"SMAD4;TFDP2;SMAD7","","R-HSA-2186785;R-HSA-2031355;R-HSA-2187303;R-HSA-2187309;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-2106579;R-HSA-1484099;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-2187293;R-HSA-2186780;R-HSA-170847;R-HSA-2106591"
R-HSA-5365859,"RA biosynthesis pathway",4,39,0.0028861096721675425,0.030675676224895088,0.6162802966785703,3,11,9.90544799639802E-4,9606,Homo sapiens,"DHRS9;ALDH1A1;AKR1C3","","R-HSA-5615668;R-HSA-5362518;R-HSA-5362522"
R-HSA-877300,"Interferon gamma signaling",10,176,0.013024494930807371,0.041270931110787945,0.6162802966785703,3,15,0.0013507429085997298,9606,Homo sapiens,"SOCS3;GBP5;NCAM1;IRF5;HLA-F;FCGR1B;HLA-DQA1;GBP4;HLA-DQB1","","R-HSA-873918;R-HSA-877269;R-HSA-1031716"
R-HSA-72649,"Translation initiation complex formation",5,63,0.004662177162732184,0.04236093740772817,0.6162802966785703,2,2,1.8009905447996397E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-156808;R-HSA-157849"
R-HSA-444473,"Formyl peptide receptors bind formyl peptides and many other ligands",2,11,8.140309331754607E-4,0.04349857280067071,0.6162802966785703,2,3,2.70148581719946E-4,9606,Homo sapiens,"ANXA1;FPR2","","R-HSA-444476;R-HSA-391913"
R-HSA-8939242,"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",2,11,8.140309331754607E-4,0.04349857280067071,0.6162802966785703,2,8,7.203962179198559E-4,9606,Homo sapiens,"SOCS3","","R-HSA-8955885;R-HSA-8955748"
R-HSA-9012546,"Interleukin-18 signaling",2,11,8.140309331754607E-4,0.04349857280067071,0.6162802966785703,1,4,3.6019810895992794E-4,9606,Homo sapiens,"ALOX5","","R-HSA-6797293"
R-HSA-446652,"Interleukin-1 family signaling",8,133,0.009842374010212387,0.04886302085511951,0.6162802966785703,24,65,0.00585321927059883,9606,Homo sapiens,"IL1RN;IL1R1;ALOX5;IL1R2;S100A12","","R-HSA-446694;R-HSA-9008043;R-HSA-446692;R-HSA-9007882;R-HSA-168166;R-HSA-446862;R-HSA-446894;R-HSA-6797293;R-HSA-446701;R-HSA-446634;R-HSA-8940998;R-HSA-446868;R-HSA-450133;R-HSA-9007901;R-HSA-446130;R-HSA-446684;R-HSA-445757;R-HSA-8848316;R-HSA-8848314;R-HSA-9008052;R-HSA-445752;R-HSA-446648;R-HSA-9008054;R-HSA-445753"
R-HSA-72702,"Ribosomal scanning and start codon recognition",5,66,0.004884185599052764,0.04983275781706231,0.6162802966785703,2,2,1.8009905447996397E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-72697;R-HSA-72621"
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",5,67,0.004958188411159624,0.05248472397799964,0.6162802966785703,2,6,5.40297163439892E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-156808;R-HSA-157849"
R-HSA-6799990,"Metal sequestration by antimicrobial proteins",2,13,9.620365573891808E-4,0.058460629636189254,0.6162802966785703,2,5,4.5024763619990995E-4,9606,Homo sapiens,"S100A9;S100A8","","R-HSA-6798528;R-HSA-6798474"
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",5,70,0.005180196847480204,0.06092553090274633,0.6162802966785703,6,31,0.0027915353444394417,9606,Homo sapiens,"NFIL3;NAMPT;RORA","","R-HSA-5669302;R-HSA-1368133;R-HSA-5663122;R-HSA-549475;R-HSA-549493;R-HSA-1368889"
R-HSA-109606,"Intrinsic Pathway for Apoptosis",4,49,0.0036261377932361428,0.06098405057769052,0.6162802966785703,8,46,0.004142278253039171,9606,Homo sapiens,"TFDP2;NMT2;GZMB;SFN","","R-HSA-139906;R-HSA-141367;R-HSA-139893;R-HSA-139899;R-HSA-140217;R-HSA-4331327;R-HSA-4331324;R-HSA-140221"
R-HSA-201451,"Signaling by BMP",3,30,0.002220084363205802,0.06214852325074771,0.6162802966785703,8,17,0.001530841963079694,9606,Homo sapiens,"SMAD4;NOG;SMAD7","","R-HSA-201475;R-HSA-202626;R-HSA-201810;R-HSA-201425;R-HSA-201472;R-HSA-201423;R-HSA-201422;R-HSA-201821"
R-HSA-391908,"Prostanoid ligand receptors",2,14,0.0010360393694960409,0.06651343473672133,0.6162802966785703,2,8,7.203962179198559E-4,9606,Homo sapiens,"PTGDR","","R-HSA-391940;R-HSA-391935"
R-HSA-9006931,"Signaling by Nuclear Receptors",5,72,0.005328202471693924,0.06695581165816922,0.6162802966785703,4,21,0.0018910400720396217,9606,Homo sapiens,"DHRS9;ALDH1A1;AKR1C3;PDK4","","R-HSA-5615668;R-HSA-5362518;R-HSA-203946;R-HSA-5362522"
R-HSA-5362517,"Signaling by Retinoic Acid",5,72,0.005328202471693924,0.06695581165816922,0.6162802966785703,4,21,0.0018910400720396217,9606,Homo sapiens,"DHRS9;ALDH1A1;AKR1C3;PDK4","","R-HSA-5615668;R-HSA-5362518;R-HSA-203946;R-HSA-5362522"
R-HSA-5686938,"Regulation of TLR by endogenous ligand",3,31,0.0022940871753126617,0.06713381565647658,0.6162802966785703,2,12,0.001080594326879784,9606,Homo sapiens,"TLR10;S100A9;S100A8","","R-HSA-5432849;R-HSA-5432814"
R-HSA-168249,"Innate Immune System",48,1291,0.09553763042995633,0.06924442339868642,0.6162802966785703,83,648,0.05835209365150833,9606,Homo sapiens,"CDA;SERPINA1;TXK;NCF4;HP;FPR2;FCAR;ADGRG1;MMP25;GNLY;ALOX5;PCBP2;TIMP2;S100A12;ENPP4;PI3;PRKACB;MGAM;CR1;YES1;KLRC3;ARG1;SLC11A1;MCEMP1;RNASE2;MMP9;SERPINB6;DNM3;BST1;LRG1;VNN1;CLEC4D;SLPI;PADI2;S100P;CYSTM1;KLRD1;TLR10;FOLR3;PTPN4;TLR5;ACPP;S100A9;DSC2;S100A8;SIGLEC5","","R-HSA-2424484;R-HSA-2424486;R-HSA-2424487;R-HSA-6810724;R-HSA-2424480;R-HSA-2424482;R-HSA-975880;R-HSA-975878;R-HSA-975879;R-HSA-1974676;R-HSA-2395439;R-HSA-975874;R-HSA-166286;R-HSA-2029459;R-HSA-166284;R-HSA-975873;R-HSA-879362;R-HSA-2559414;R-HSA-6799350;R-HSA-2396594;R-HSA-2730888;R-HSA-6798528;R-HSA-6806732;R-HSA-2730885;R-HSA-2395412;R-HSA-937022;R-HSA-990526;R-HSA-166072;R-HSA-5432814;R-HSA-5621353;R-HSA-2395801;R-HSA-879411;R-HSA-166082;R-HSA-977615;R-HSA-5432849;R-HSA-2730858;R-HSA-2201316;R-HSA-166091;R-HSA-2201322;R-HSA-3266557;R-HSA-977602;R-HSA-5624473;R-HSA-6800426;R-HSA-990528;R-HSA-977375;R-HSA-977629;R-HSA-2262775;R-HSA-6800434;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-2201341;R-HSA-975852;R-HSA-975853;R-HSA-168166;R-HSA-166119;R-HSA-435171;R-HSA-6807565;R-HSA-2201293;R-HSA-937059;R-HSA-6798474;R-HSA-6798743;R-HSA-168947;R-HSA-210289;R-HSA-975866;R-HSA-6798739;R-HSA-168951;R-HSA-2730847;R-HSA-975865;R-HSA-2730833;R-HSA-6798751;R-HSA-937079;R-HSA-6798749;R-HSA-1222376;R-HSA-2172123;R-HSA-975861;R-HSA-188025;R-HSA-6798748;R-HSA-6798747;R-HSA-6807578;R-HSA-6798745;R-HSA-2172126;R-HSA-975857"
R-HSA-375276,"Peptide ligand-binding receptors",10,194,0.014356545548730852,0.06941427819128021,0.6162802966785703,9,73,0.006573615488518685,9606,Homo sapiens,"ANXA1;CXCL8;CCL5;F2R;XCL1;AVPR1A;FPR2;CXCL5","","R-HSA-373061;R-HSA-373813;R-HSA-388468;R-HSA-389463;R-HSA-373791;R-HSA-444476;R-HSA-391913;R-HSA-373339;R-HSA-374251"
R-HSA-380994,"ATF4 activates genes",3,32,0.002368089987419522,0.07229553627615293,0.6162802966785703,1,7,6.303466906798739E-4,9606,Homo sapiens,"CXCL8;EXOSC1","","R-HSA-517731"
R-HSA-3000497,"Scavenging by Class H Receptors",2,15,0.001110042181602901,0.07490907154062865,0.6162802966785703,2,4,3.6019810895992794E-4,9606,Homo sapiens,"SPARC;STAB1","","R-HSA-2247513;R-HSA-2197770"
R-HSA-204005,"COPII (Coat Protein 2) Mediated Vesicle Transport",5,76,0.005624213720121365,0.0799739544896717,0.6162802966785703,10,16,0.0014407924358397117,9606,Homo sapiens,"TMED10;SERPINA1;TGFA;TMED2;FOLR1","","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694441;R-HSA-5694409"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",3,34,0.002516095611633242,0.08312994324370548,0.6162802966785703,7,14,0.0012606933813597478,9606,Homo sapiens,"TLR10;TLR5","","R-HSA-5602353;R-HSA-5602672;R-HSA-5602316;R-HSA-5602383;R-HSA-5602606;R-HSA-5602472;R-HSA-5602603"
R-HSA-5260271,"Diseases of Immune System",3,34,0.002516095611633242,0.08312994324370548,0.6162802966785703,7,14,0.0012606933813597478,9606,Homo sapiens,"TLR10;TLR5","","R-HSA-5602353;R-HSA-5602672;R-HSA-5602316;R-HSA-5602383;R-HSA-5602606;R-HSA-5602472;R-HSA-5602603"
R-HSA-1358803,"Downregulation of ERBB2:ERBB3 signaling",2,16,0.001184044993709761,0.08362047025266961,0.6162802966785703,2,8,7.203962179198559E-4,9606,Homo sapiens,"NRG1","","R-HSA-1358798;R-HSA-1358792"
R-HSA-2197563,"NOTCH2 intracellular domain regulates transcription",2,16,0.001184044993709761,0.08362047025266961,0.6162802966785703,2,9,8.104457451598379E-4,9606,Homo sapiens,"GZMB","","R-HSA-2976551;R-HSA-2976563"
R-HSA-5619109,"Defective SLC6A2 causes orthostatic intolerance (OI)",1,3,2.220084363205802E-4,0.08579584292886533,0.6162802966785703,1,1,9.004952723998198E-5,9606,Homo sapiens,"NET1","","R-HSA-5659764"
