Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5603037,"IRAK4 deficiency (TLR5)",2,5,3.700140605343003E-4,0.011775061014711041,0.6391953838996118,2,2,1.8009905447996397E-4,9606,Homo sapiens,"TLR10;TLR5","","R-HSA-5602472;R-HSA-5602603"
R-HSA-877300,"Interferon gamma signaling",12,176,0.013024494930807371,0.013623735168063589,0.6391953838996118,3,15,0.0013507429085997298,9606,Homo sapiens,"SOCS3;GBP5;HLA-DRB4;NCAM1;IRF5;HLA-F;FCGR1B;GBP1;HLA-DQA1;GBP4;HLA-DQB1","","R-HSA-873918;R-HSA-877269;R-HSA-1031716"
R-HSA-1358803,"Downregulation of ERBB2:ERBB3 signaling",3,16,0.001184044993709761,0.015767974117556705,0.6391953838996118,3,8,7.203962179198559E-4,9606,Homo sapiens,"AKT3;NRG1","","R-HSA-1358791;R-HSA-1358798;R-HSA-1358792"
R-HSA-9007892,"Interleukin-38 signaling",2,6,4.440168726411604E-4,0.016600490851601202,0.6391953838996118,5,5,4.5024763619990995E-4,9606,Homo sapiens,"IL1RN;IL1R1","","R-HSA-9008043;R-HSA-9007882;R-HSA-9007901;R-HSA-9008052;R-HSA-9008054"
R-HSA-1306955,"GRB7 events in ERBB2 signaling",2,6,4.440168726411604E-4,0.016600490851601202,0.6391953838996118,1,1,9.004952723998198E-5,9606,Homo sapiens,"NRG1","","R-HSA-1306953"
R-HSA-9014826,"Interleukin-36 pathway",2,7,5.180196847480204E-4,0.0221225431891231,0.6391953838996118,3,3,2.70148581719946E-4,9606,Homo sapiens,"IL1RN;IL1R1","","R-HSA-8848316;R-HSA-8848314;R-HSA-8940998"
R-HSA-8849474,"PTK6 Activates STAT3",2,7,5.180196847480204E-4,0.0221225431891231,0.6391953838996118,3,9,8.104457451598379E-4,9606,Homo sapiens,"SOCS3","","R-HSA-8848150;R-HSA-8848178;R-HSA-8848110"
R-HSA-109606,"Intrinsic Pathway for Apoptosis",5,49,0.0036261377932361428,0.022803148235860382,0.6391953838996118,9,46,0.004142278253039171,9606,Homo sapiens,"TFDP2;AKT3;NMT2;GZMB;SFN","","R-HSA-139906;R-HSA-141367;R-HSA-139893;R-HSA-198347;R-HSA-139899;R-HSA-140217;R-HSA-4331327;R-HSA-4331324;R-HSA-140221"
R-HSA-392154,"Nitric oxide stimulates guanylate cyclase",4,36,0.002664101235846962,0.030765450604677058,0.6391953838996118,4,7,6.303466906798739E-4,9606,Homo sapiens,"GUCY1A3;GUCY1B3;PDE5A;MRVI1","","R-HSA-392143;R-HSA-418442;R-HSA-392152;R-HSA-418456"
R-HSA-8863795,"Downregulation of ERBB2 signaling",4,36,0.002664101235846962,0.030765450604677058,0.6391953838996118,5,14,0.0012606933813597478,9606,Homo sapiens,"AKT3;MATK;NRG1","","R-HSA-1358791;R-HSA-1963563;R-HSA-1358798;R-HSA-8863804;R-HSA-1358792"
R-HSA-446652,"Interleukin-1 family signaling",9,133,0.009842374010212387,0.031409862827943225,0.6391953838996118,24,65,0.00585321927059883,9606,Homo sapiens,"IL1RN;IL1R1;ALOX5;IL1R2;S100A12;IRAK3","","R-HSA-446694;R-HSA-9008043;R-HSA-446692;R-HSA-9007882;R-HSA-168166;R-HSA-446862;R-HSA-446894;R-HSA-6797293;R-HSA-446701;R-HSA-446634;R-HSA-8940998;R-HSA-446868;R-HSA-450133;R-HSA-9007901;R-HSA-446130;R-HSA-446684;R-HSA-445757;R-HSA-8848316;R-HSA-8848314;R-HSA-9008052;R-HSA-445752;R-HSA-446648;R-HSA-9008054;R-HSA-445753"
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",3,21,0.0015540590542440613,0.031712700557757545,0.6391953838996118,7,11,9.90544799639802E-4,9606,Homo sapiens,"TFDP2;SFN","","R-HSA-6803892;R-HSA-6803875;R-HSA-6803890;R-HSA-6803858;R-HSA-6803871;R-HSA-6798268;R-HSA-6798282"
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",5,54,0.003996151853770443,0.0326172367869797,0.6391953838996118,1,3,2.70148581719946E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-72691"
R-HSA-2173793,"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",5,55,0.004070154665877303,0.034851205999929746,0.6391953838996118,35,38,0.0034218820351193157,9606,Homo sapiens,"SMAD4;TFDP2;USP9Y;SMAD7","","R-HSA-2186785;R-HSA-870477;R-HSA-870479;R-HSA-2187303;R-HSA-870538;R-HSA-2176491;R-HSA-2187309;R-HSA-2186607;R-HSA-2186741;R-HSA-1484099;R-HSA-2176503;R-HSA-2176502;R-HSA-2186747;R-HSA-2187325;R-HSA-209055;R-HSA-2187388;R-HSA-170847;R-HSA-2187330;R-HSA-2031355;R-HSA-870437;R-HSA-173481;R-HSA-2179274;R-HSA-173545;R-HSA-2179276;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-2106579;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-870449;R-HSA-2187293;R-HSA-2186780;R-HSA-2106591"
R-HSA-204005,"COPII (Coat Protein 2) Mediated Vesicle Transport",6,76,0.005624213720121365,0.03916116738537445,0.6391953838996118,10,16,0.0014407924358397117,9606,Homo sapiens,"TMED10;SERPINA1;TGFA;TMED2;FOLR1;F5","","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694441;R-HSA-5694409"
R-HSA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",4,39,0.0028861096721675425,0.03935999105277932,0.6391953838996118,16,17,0.001530841963079694,9606,Homo sapiens,"SMAD4;TFDP2;SMAD7","","R-HSA-2186785;R-HSA-2031355;R-HSA-2187303;R-HSA-2187309;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-2106579;R-HSA-1484099;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-2187293;R-HSA-2186780;R-HSA-170847;R-HSA-2106591"
R-HSA-445355,"Smooth Muscle Contraction",4,39,0.0028861096721675425,0.03935999105277932,0.6391953838996118,8,9,8.104457451598379E-4,9606,Homo sapiens,"ANXA1;CALD1;DYSF;MYLK","","R-HSA-5263633;R-HSA-445700;R-HSA-445813;R-HSA-445797;R-HSA-445699;R-HSA-5263628;R-HSA-445704;R-HSA-445705"
R-HSA-5365859,"RA biosynthesis pathway",4,39,0.0028861096721675425,0.03935999105277932,0.6391953838996118,3,11,9.90544799639802E-4,9606,Homo sapiens,"DHRS9;ALDH1A1;AKR1C3","","R-HSA-5615668;R-HSA-5362518;R-HSA-5362522"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",7,101,0.007474284022792866,0.04858537764025139,0.6391953838996118,1,1,9.004952723998198E-5,9606,Homo sapiens,"RPL38;RPS11;RPS4Y1;GSPT1;RPS24","","R-HSA-927789"
R-HSA-202430,"Translocation of ZAP-70 to Immunological synapse",4,42,0.0031081181084881226,0.04918857043125824,0.6391953838996118,4,4,3.6019810895992794E-4,9606,Homo sapiens,"HLA-DRB4;HLA-DQA1;HLA-DQB1","","R-HSA-8855381;R-HSA-202168;R-HSA-202344;R-HSA-202174"
R-HSA-444473,"Formyl peptide receptors bind formyl peptides and many other ligands",2,11,8.140309331754607E-4,0.05022979247251058,0.6391953838996118,2,3,2.70148581719946E-4,9606,Homo sapiens,"ANXA1;FPR2","","R-HSA-444476;R-HSA-391913"
R-HSA-8939242,"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",2,11,8.140309331754607E-4,0.05022979247251058,0.6391953838996118,2,8,7.203962179198559E-4,9606,Homo sapiens,"SOCS3","","R-HSA-8955885;R-HSA-8955748"
R-HSA-9012546,"Interleukin-18 signaling",2,11,8.140309331754607E-4,0.05022979247251058,0.6391953838996118,1,4,3.6019810895992794E-4,9606,Homo sapiens,"ALOX5","","R-HSA-6797293"
R-HSA-72649,"Translation initiation complex formation",5,63,0.004662177162732184,0.05609497144041997,0.6391953838996118,2,2,1.8009905447996397E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-156808;R-HSA-157849"
R-HSA-140875,"Common Pathway of Fibrin Clot Formation",3,27,0.0019980759268852216,0.05864915328657816,0.6391953838996118,8,27,0.002431337235479514,9606,Homo sapiens,"F2R;PF4V1;F5","","R-HSA-141026;R-HSA-141040;R-HSA-5591040;R-HSA-5607058;R-HSA-140664;R-HSA-140696;R-HSA-140686;R-HSA-5607002"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",4,45,0.0033301265448087026,0.06024442116394513,0.6391953838996118,5,7,6.303466906798739E-4,9606,Homo sapiens,"HLA-DRB4;HLA-DQA1;HLA-DQB1","","R-HSA-202291;R-HSA-202214;R-HSA-202165;R-HSA-202233;R-HSA-8852200"
R-HSA-389948,"PD-1 signaling",4,45,0.0033301265448087026,0.06024442116394513,0.6391953838996118,1,4,3.6019810895992794E-4,9606,Homo sapiens,"HLA-DRB4;HLA-DQA1;HLA-DQB1","","R-HSA-389758"
R-HSA-140877,"Formation of Fibrin Clot (Clotting Cascade)",4,45,0.0033301265448087026,0.06024442116394513,0.6391953838996118,9,53,0.004772624943719045,9606,Homo sapiens,"F2R;TFPI;PF4V1;F5","","R-HSA-141026;R-HSA-141040;R-HSA-5591040;R-HSA-5607058;R-HSA-140664;R-HSA-140696;R-HSA-140825;R-HSA-140686;R-HSA-5607002"
R-HSA-72764,"Eukaryotic Translation Termination",7,108,0.007992303707540886,0.06456326462132855,0.6391953838996118,4,5,4.5024763619990995E-4,9606,Homo sapiens,"RPL38;RPS11;RPS4Y1;GSPT1;RPS24","","R-HSA-141671;R-HSA-141691;R-HSA-141673;R-HSA-6800138"
R-HSA-72702,"Ribosomal scanning and start codon recognition",5,66,0.004884185599052764,0.06562414851663256,0.6391953838996118,2,2,1.8009905447996397E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-72697;R-HSA-72621"
R-HSA-6799990,"Metal sequestration by antimicrobial proteins",2,13,9.620365573891808E-4,0.06729544082550554,0.6391953838996118,2,5,4.5024763619990995E-4,9606,Homo sapiens,"S100A9;S100A8","","R-HSA-6798528;R-HSA-6798474"
R-HSA-1227986,"Signaling by ERBB2",5,67,0.004958188411159624,0.06898944860684575,0.6391953838996118,25,43,0.0038721296713192257,9606,Homo sapiens,"YES1;AKT3;MATK;NRG1","","R-HSA-1250195;R-HSA-8848005;R-HSA-6785636;R-HSA-1306969;R-HSA-1250463;R-HSA-1250462;R-HSA-1306972;R-HSA-1358791;R-HSA-6785648;R-HSA-1963589;R-HSA-1247497;R-HSA-1358798;R-HSA-1306953;R-HSA-1358792;R-HSA-1250189;R-HSA-1963586;R-HSA-1963581;R-HSA-1963582;R-HSA-1250486;R-HSA-1963578;R-HSA-1306979;R-HSA-1963563;R-HSA-1250346;R-HSA-8863804;R-HSA-8847995"
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",5,67,0.004958188411159624,0.06898944860684575,0.6391953838996118,2,6,5.40297163439892E-4,9606,Homo sapiens,"EIF1AY;RPS11;RPS4Y1;RPS24","","R-HSA-156808;R-HSA-157849"
R-HSA-201451,"Signaling by BMP",3,30,0.002220084363205802,0.07509046022627885,0.6391953838996118,8,17,0.001530841963079694,9606,Homo sapiens,"SMAD4;NOG;SMAD7","","R-HSA-201475;R-HSA-202626;R-HSA-201810;R-HSA-201425;R-HSA-201472;R-HSA-201423;R-HSA-201422;R-HSA-201821"
R-HSA-391908,"Prostanoid ligand receptors",2,14,0.0010360393694960409,0.07644611762721965,0.6391953838996118,2,8,7.203962179198559E-4,9606,Homo sapiens,"PTGDR","","R-HSA-391940;R-HSA-391935"
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",5,70,0.005180196847480204,0.07964616474644881,0.6391953838996118,6,31,0.0027915353444394417,9606,Homo sapiens,"NFIL3;NAMPT;RORA","","R-HSA-5669302;R-HSA-1368133;R-HSA-5663122;R-HSA-549475;R-HSA-549493;R-HSA-1368889"
R-HSA-114608,"Platelet degranulation ",8,137,0.010138385258639828,0.08073709103448201,0.6391953838996118,3,11,9.90544799639802E-4,9606,Homo sapiens,"SERPINA1;SPARC;MMRN1;PDGFA;RAB27B;THBS1;F5","","R-HSA-481010;R-HSA-481009;R-HSA-481007"
R-HSA-5686938,"Regulation of TLR by endogenous ligand",3,31,0.0022940871753126617,0.08097687993856151,0.6391953838996118,2,12,0.001080594326879784,9606,Homo sapiens,"TLR10;S100A9;S100A8","","R-HSA-5432849;R-HSA-5432814"
